,tweetID,sentID,hashtags,user,usertype,TweetSentence,phase1Candidates
37,22,3,nan,lawhawk,Z,The GOP does it.,The GOP|| 
38,22,4,nan,lawhawk,Z,Hides all the stuff they're doing behind baffling BS.,BS|| 
39,23,0,nan,knightir,Z,"@THEHermanCain -his neighborough in Trump Towery.. Isidor von Bergman, 82.",Trump Towery.. Isidor|| Bergman|| 
40,24,0,nan,JohnGab69864771,Z,@MissLizzyNJ It started with Trump talking to Australian minister...they knew conversation,Trump|| Australian|| 
41,25,0,veryfakenews,iamdansim,Z,More,
42,26,0,nan,IShallResist,Z,@Wooflepup I hold nothing but hate for Trump and Congressional GOP.,Trump and Congressional GOP|| 
43,26,1,nan,IShallResist,Z,And when I say Hate.,Hate|| 
44,27,0,nan,japsnoticias1,Z,Donald Trump donates first salary check to National Park Service,Donald Trump|| National Park Service|| 
45,28,0,nan,MyDailyReporter,Z,White House spokesman says President Trump's son-in-law not too busy: 'He has a team that he oversees',White House|| President Trump's|| 
46,29,0,"trump, TrumpRussia, SusanRice",Nopoliticalgirl,Z,s supporters unmasking means expose the true character of or hidden truth about.,
47,29,1,"trump, TrumpRussia, SusanRice",Nopoliticalgirl,Z,Not spying or leaking,
48,30,0,nan,ShowmetheLight,Z,Trump tweeted to the FBI that Faux News has intel info about the wire tapping from anonymous sources.,FBI|| Faux News|| 
49,30,1,nan,ShowmetheLight,Z,Moron.,
50,31,0,nan,GoyaGit,Z,The United States House of Representatives and the United States Senate: Stop President Trump's Propo... via @Change,
51,32,0,nan,AshbyEF,Z,"Trump-tied businessmen met NSC officials, Bannon over Venezuela sanctions, sources say via @mic",NSC|| Bannon|| Venezuela|| 
52,33,0,nan,FredsFlintstone,Z,Trump Plans To Ban Controversial Flashlight!,Trump Plans|| Ban Controversial Flashlight|| 
53,33,1,nan,FredsFlintstone,Z,Manufacturer Gives Away Inventory For FREE -,Manufacturer Gives Away Inventory|| FREE|| 
54,34,0,nan,kathymd999,Z,"Yes they do Trump OReilly Hannity Allies, rapist",Trump OReilly Hannity Allies|| 
55,35,0,nan,helendoremus,Z,Oh good.,
56,36,0,nan,Sheree_Kirby,Z,"Massage and politics class, an unusual combination!",
57,37,0,nan,abhijitpatwa1,Z,Trump's dangerous expansion of executive war powers,
58,38,0,nan,shannonweston76,Z,Oh my.,
59,38,1,nan,shannonweston76,Z,You are one big liar aren't you?,
60,39,0,nan,Domainniche,Z,Nick Clegg urges liberals and centrists to unite against hard Brexiters,Nick Clegg|| Brexiters|| 
61,40,0,nan,bensr_1,Z,"@realDonaldTrump @hugva3 @foxandfriends INTERESTING YES BUT USELESS INFO, UNLESS HEADS ROLL, WHICH WILL NEVER HAPPEN, GIVEN THE ATMOSPHERE AND TIES OF D.C.",INTERESTING|| USELESS INFO|| UNLESS HEADS ROLL|| HAPPEN|| GIVEN|| ATMOSPHERE AND TIES OF D.C|| 
62,40,1,nan,bensr_1,Z,"POLITICS!!""",
63,41,1,nan,seangmackell,Z,"POLITICS!!""",
64,42,0,nan,aqytha_joobjip,Z,First lady Melania Trump gets her official White House portrait NBCNews,Melania Trump|| White House|| NBCNews|| 
65,43,0,"androbrix1, android, apple",androbrix1,Z,Trump will allow immigrants to obtain citizenship through military service - Fox News …,Fox News|| 
66,44,0,nan,AndriaPledger,Z,@ShariaLawlz @WDFx2EU95 Hey it's Twitter ...forgive my grammatical errors professors...I wouldn't question anyone's intellect tho..u are the one who supports Trump!,Twitter|| Trump|| 
67,45,0,nan,itsweezie,Z,Melania Trump’s Official Portrait Stepped Out of the ’80s and Into 100s of Memes via @selectall,Melania Trump’s Official Portrait Stepped|| 100s of Memes|| 
68,46,0,nan,WorldConserv,Z,Ferrari once owned by Donald Trump sells for $270K in Fort Lauderdale | Video - Sun Sentinel,Donald Trump|| Fort Lauderdale|| Video|| Sun Sentinel|| 
69,47,0,"SCOTUSnominee, ccot, ConfirmGorsuch, PJNET",Chad_59,Z,MT @bcwilliams92: Left Fumes at Trump Pro Religious Freedom Pick.,
70,48,0,disruptive,EggmanOrWalrus,Z,Trump Says He Can Tackle North Korea With or Without China,Trump Says|| Tackle North Korea|| Without China|| 
71,49,0,nan,FBawroski,Z,Trust me they are Wheeling and dealing behind the scenes I hope Trump don't let em off the hook with a back room deal,Wheeling|| Trump|| 
72,50,0,nan,LadyTKnight,Z,Democrats have lost their moral compass &  sunk to new level.,
73,50,1,nan,LadyTKnight,Z,Hundreds of felonies have been committed &  an investigation is imperative!,
74,51,0,nan,eforhan,Z,"@ScottAdamsSays Just like Hitler, right?",Hitler|| 
75,52,0,nan,creafa,Z,@candinam namrata you like to be actor in stage and me a audience .,
76,52,1,nan,creafa,Z,I am happy watching the play.,
77,52,2,nan,creafa,Z,"Nothing going to change, politics is not for me",
78,53,0,nan,phepp89,Z,"@nymike2 @realDonaldTrump @WhiteHouse “To be blunt, they were not great buildings,” Trump said.",Trump|| 
79,53,1,nan,phepp89,Z,"“They only became great upon their demise last Tuesday.""",
80,53,2,nan,phepp89,Z,Make America Great Again.,America Great|| 
81,54,0,nan,bfs465,Z,@jonathanchait And now it means...'no justices in Trump's last year' either....sad fool,Trump's|| 
82,55,0,nan,DocHollidayAz,Z,"Susan Rice requested to unmask names of Trump transition officials, sources say |",Susan Rice|| Trump|| 
83,56,0,nan,LilGamine,Z,If I went America and ask trump if I could paint up the white house and he tell me yes feel I ain't rasshole doing it then,America|| 
84,56,1,nan,LilGamine,Z,Got me good.,
85,57,0,nan,ComplexlySimple,Z,".......nah, this can't be official.",
86,57,1,nan,ComplexlySimple,Z,Try again.,
87,58,0,nan,Oil_vampire,Z,Odd choice as its more reflective of progressive/fascist ideology.,
88,58,1,nan,Oil_vampire,Z,"Twisting to depict more conservative ideas, weird.",
89,59,0,nan,Wonder_Chick_,Z,Trump takes aim at visa program for high-skilled workers,
90,59,1,nan,Wonder_Chick_,Z,Thank you Mr. @POTUS,Mr|| 
91,60,0,nan,ortiz_tati_7,Z,"The long, strange and totally nasty history of Donald Trump and Rand Paul",Donald Trump and Rand Paul|| 
92,61,0,nan,TangoDownDaesh,Z,"Trump Shifts Course on Egypt, Praising Its Authoritarian Leader",Trump Shifts Course on Egypt|| Praising|| Authoritarian Leader|| 
93,62,0,nan,RaineyMcdonald,Z,She did not,
94,63,0,Byoussef,AlbadryNicu,Z,"Trump is meeting with Sisi today, presumably to see who has the thinnest skin.",Sisi|| 
95,63,1,Byoussef,AlbadryNicu,Z,As... by via @c0nvey,
96,64,0,nan,thejoyhoney,Z,@AlekseiTheWolf @Beanfilms @LoraLeaTucker @BillyPolcha @wecreatedhim @SallyAlbright @uglyhotdog @LastHandleLeft_ @Chippychin @MrDane1982 @SenSanders @HillaryClinton I saw nothing on Trump's website except promises.,Trump's|| 
97,64,1,nan,thejoyhoney,Z,No plans to make them come to fruition.,
98,65,0,nan,jlopezandfamily,Z,"Susan Rice requested to unmask names of Trump transition officials, sources say via the @FoxNews Android app Arrest",Susan Rice|| Trump|| Android|| Arrest|| 
99,66,0,nan,SchwobCatherine,Z,Trump donated first quarter salary to National Park Service.,National Park Service|| 
100,67,0,nan,PeterNawe,Z,Trump was a billionaire before presidency and yet he can't also claim that his involvement in politics is a sacrifice,
101,68,0,nan,LuanaMacLac,Z,IT'S CRIMINAL-CHARGE HER!,CRIMINAL-CHARGE|| 
102,68,1,nan,LuanaMacLac,Z,"Obama aide Susan Rice sought names of Trump associates in intel, @EliLake reports via @BV",Susan Rice|| Trump|| 
103,69,0,nan,GregortheMendel,Z,"Opinion | Anatomy of a fake scandal, ginned up by right-wing media and Trump",Anatomy|| Trump|| 
104,70,0,nan,FersharX,Z,Wow.,
105,70,1,nan,FersharX,Z,Just.,
106,70,2,nan,FersharX,Z,Wow.,
107,71,0,nan,westarz,Z,@DJTJohnMiller The Dummy Trump can't play chess!,The Dummy Trump|| 
108,72,0,children,mjodirector,Z,"While men, women, are hungry and homeless in our country....",
109,73,0,nan,FotoLuna,Z,Check it out!,
110,73,1,nan,FotoLuna,Z,This is First Lady Melania Trump’s Official White House Portrait,
111,74,0,nan,LyellBan,Z,UNMASKED: Susan Rice Requested Intelligence On Trump Associates via @dailycaller,
112,75,0,nan,AgredanoGpp,Z,Schiff: Whenever Trump Calls Something Fake 'It Ought To Set Off Alarm Bells' via @TPM,Schiff: Whenever Trump Calls Something Fake|| Ought|| Set|| Alarm Bells|| 
113,76,0,TYTNation,SHS_2015_1997,Z,@TYTNation ??,
114,76,1,TYTNation,SHS_2015_1997,Z,“Trump donates his Q1 salary to the National Park Service”,Q1|| National Park Service|| 
115,77,0,nan,BaileyPittipat,Z,Trump takes aim at visa program for high-skilled workers | TheHill,TheHill|| 
116,78,0,"pumps, flats, heels",lindasmith365,Z,Ivanka Trump Women's Boni7 Dress Pump,Ivanka Trump Women's Boni7 Dress Pump|| 
117,79,0,nan,christy_mcafee,Z,@JonesAnthonee well we love you Trump supporters love Trump supporters,Trump|| Trump|| 
118,80,0,nan,LSG333,Z,Cut out the entire Russia-soaked tumour.,Russia-soaked|| 
119,81,0,nan,gary9758,Z,"Yes, other Presidents consumed multiple newspapers.",Presidents|| 
120,81,1,nan,gary9758,Z,Times have changed.,
121,81,2,nan,gary9758,Z,The Atlanic needs to keep up.,The Atlanic|| 
122,82,0,nan,serge_poznanski,Z,"business: Will Mitch McConnell have to invoke the ""nuclear option"" to confirm Gorsuch?",Mitch McConnell|| Gorsuch|| 
123,83,0,nan,Paulhaider74,Z,Make the call: Tell your senators to oppose Trump's takeover of the Supreme Court.,Tell|| Trump's|| Supreme Court|| 
124,84,0,nan,JJREILLY3,Z,The Reclusive Hedge-Fund Tycoon Behind the Trump Presidency via @newyorker,The Reclusive Hedge-Fund Tycoon Behind|| Trump Presidency|| 
125,85,0,nan,SuperWhoDawn,Z,When your world looks kinda weird and you wish that you weren't there,
126,85,1,nan,SuperWhoDawn,Z,Just close your eyes and make believe and you can be anywhere,
127,86,0,nan,powerpuffsama2,Z,How about instead we make college worth it and create more jobs so people can pay them off like what Trump wants to do?,Trump|| 
128,87,0,nan,BeeSaysPolitics,Z,Elected officials supports Trumps trash,Trumps|| 
129,87,1,nan,BeeSaysPolitics,Z,Everyday Trump is not impeach ed,Everyday Trump|| 
130,87,2,nan,BeeSaysPolitics,Z,"Trump &;Family, F500s, Media has tainted our kids outlook on life!",Trump &;Family|| F500s|| Media|| 
131,88,0,nan,davidthomas38,Z,CONFIRMED: Obama National Security Advisor SUSAN RICE Requested the Unmasking of Incoming Trump Officials,Unmasking of Incoming Trump Officials|| 
132,89,0,nan,notangrydude,Z,And just why was that?,
133,90,0,nan,lisaboban,Z,Oh my people...,
134,91,0,nan,JamessReality,Z,@EmmaSengsta You know I have noticed that Trump ain't happy with slot of Eu countries at the moment that's worrying.,Trump|| Eu|| 
135,92,0,"Followme, JUNIOR_RD15",JUNIOR_RD15,Z,Donald Trump to Be Impersonated by Anthony Atamanuik on Comedy Central's 'The President Show',Donald Trump|| President Show|| 
136,93,0,nan,RAMRANTS,Z,You couldn't pay me to shake Angela Merkel's hand.,Angela Merkel's|| 
137,93,1,nan,RAMRANTS,Z,Her globalist policies are ruinIng Germany.,Germany|| 
138,93,2,nan,RAMRANTS,Z,Trump shouldn't showcase any respect for that,
139,94,0,nan,virgalleg,Z,FBI director confirms agency is investigating ties between Trump and Russia via @HuffPostPol,Trump and Russia|| 
140,95,0,nan,DrEricJenkins,Z,@tylersuits Headline proves nothing other than Trump assoc got caught talking to Russian spies.,Headline|| Trump|| Russian|| 
141,95,1,nan,DrEricJenkins,Z,That's the real scandal.,
142,95,2,nan,DrEricJenkins,Z,Please try to read,
143,96,0,"JunkStatus, Blackmonday",SimonPGrindrod,Z,@MmusiMaimane @Julius_S_Malema Are ready to put our petty party differences aside and put people above politics?,
144,97,0,nan,Btrswet,Z,How is it Trump's son-law is in Iraq acting as SOS when he is not confirmed thru congress?,Trump's|| Iraq|| SOS|| 
145,97,1,nan,Btrswet,Z,"USA no longer have procedures,checks &;balances?",
146,98,0,"ferrari, f1",ferrariscoops,Z,Trump's Old Ferrari Breaks Records After Selling At Auction For Record $270000,Trump's Old Ferrari Breaks Records|| Selling At Auction|| Record|| 
147,99,0,nan,67wjj,Z,"@CBSNews @margbrennan Trump has no experience whatsoever in governing nor in legislation, and nor does any of his inner circle.",Trump|| 
148,99,1,nan,67wjj,Z,"And, it shows every single day.",
149,100,0,"SusanRice, ObamaSpyRing, TrumpsArmy, AmericaFirst, TrumpStrong, theswampgrows",S_L_J730,Z,Lyin' folks!,
150,100,1,"SusanRice, ObamaSpyRing, TrumpsArmy, AmericaFirst, TrumpStrong, theswampgrows",S_L_J730,Z,Its all she knows!,
151,101,0,nan,Megafed,Z,That's not carpet bombing.,
152,101,1,nan,Megafed,Z,This is still far less than needed.,
153,102,1,nan,regalremedy,Z,This is still far less than needed.,
154,103,0,"ferrari, f1",ferrariscoops,Z,Donald Trump's former Ferrari disappoints at Florida auction,Donald Trump's|| Ferrari|| Florida|| 
155,104,0,nan,MenUpMag,Z,"Unlike his recent predecessors, Trump doesn't care much about fitness, writes @StefHayes1",Trump|| 
156,105,0,nan,JessicaRN1995,Z,@realDonaldTrump are You on vacay AGAIN?,
157,105,1,nan,JessicaRN1995,Z,Do you EVER actually work?,
158,106,0,SocialMedia,MarketingNetCo,Z,White House OK with nuclear option,White House OK|| 
159,107,0,"ferrari, f1",ferrariscoops,Z,Donald Trump's old Ferrari F430 F1 Coupe sells for record $270K at auction,Donald Trump's|| Ferrari F430 F1 Coupe|| 
160,108,0,nan,DarkCGaming36,Z,President trump to veto S.J.RES.18 @realdonaldtrump,S.J.RES.18|| 
161,109,0,nan,treela_k,Z,"That whole panel on the VIEW is vacuous, rubbish to stuff in empty heads at home eating Bonbons...",VIEW|| Bonbons|| 
162,110,0,"CambridgeAnalytica, TrumpNSA, TrumpCIA",Craig_Hubley,Z,@RVAwonk @LouiseMensch 9) actively lobbying to get &; data,
163,110,1,"CambridgeAnalytica, TrumpNSA, TrumpCIA",Craig_Hubley,Z,to use for,
164,111,0,nan,readwritenap,Z,VICE (mostly bad): We hired a cool girl of online to be our politics writer,
165,111,1,nan,readwritenap,Z,THE TEENS (surprisingly wise): lol no you fucking did not ?,TEENS|| 
166,112,0,nan,DallasTexasUSA,Z,"Under Trump, there's a new plan to crack down on H-1B visas, a popular tech company hiring tool",Trump|| H-1B|| 
167,113,0,nan,jordytrox,Z,A slap to the damn face of the national park service,
168,114,0,nan,Gotmy8,Z,[ ] SitRep: Trump Willing To Go It Alone On North… |,SitRep: Trump Willing|| Go|| Alone On North|| 
169,115,0,nan,redjoe1954,Z,@thehill Trump would NOT have understood the questions anyway !,Trump|| 
170,116,0,nan,AnneBarasso,Z,It's not really a donation..he's paying towards his golf outings!!,
171,116,1,nan,AnneBarasso,Z,He certainly isn't working!,
172,116,2,nan,AnneBarasso,Z,Now he should start releasing his taxes!,
173,117,0,nan,JamesVladimirV,Z,doesn't care about how the game can spread globally or even what the fans want.,
174,117,1,nan,JamesVladimirV,Z,Sick of politics constantly ruining sport.,
175,118,0,T,KnowYourLeakGuy,Z,Breaking: President Trump Donates First Quarter Salary To National Parks Ser (pls RT???),National Parks Ser|| RT|| 
176,119,0,nan,Yanda_128M,Z,"Instead of reading resolution 2334, reading books on geo politics ain't a bad idea",
177,120,0,nan,Mgeotsa,Z,The draft dodger continuing to court the Veterans vote.,Veterans|| 
178,120,1,nan,Mgeotsa,Z,Wish I could believe heartfelt.,
179,120,2,nan,Mgeotsa,Z,But appears purely politically motivated SAD,SAD|| 
180,121,0,nan,TheFunkyKat,Z,Rep. Maxine Waters Continues To Blast Donald Trump,Rep. Maxine Waters Continues|| Blast Donald Trump|| 
181,122,0,placatalks,PLACA_Maxwell,Z,"Coming up, an important talk w/ @JuliaPrestonNow on US immigration under Trump @MoynihanMaxwell",US|| Trump|| 
182,123,0,nan,SexyHappyMeal2,Z,"Coming up, an important talk w/ @JuliaPrestonNow on US immigration under Trump @MoynihanMaxwell",
183,124,0,nan,bgneumeyer,Z,Does this make @NatlParkService the first federal agency to have been gaslit?,
184,125,0,nan,PascoRevolution,Z,PCGTW: ICYMI: Thom_Hartmann talks w/ WallachLori about Trump’s failure to keep his campaign promises in relation t…,PCGTW: ICYMI: Thom_Hartmann|| WallachLori|| Trump’s|| 
185,126,0,"donaldtrump, blockchain",Fintechgrowth,Z,Are You Worried About Trump?,Worried|| Trump|| 
186,126,1,"donaldtrump, blockchain",Fintechgrowth,Z,Then Start Your Own Country,Start|| Country|| 
187,127,0,"MSM, ObamaGate, confirmgorsuch, RepealObamaCare, USA",CramerSez,Z,"Since Trump has FU money, he's the only person in DC in the position to tell to FU!",Since Trump|| FU|| DC|| FU|| 
188,128,0,"TheResistance, resist",whitefishglobal,Z,"2 Numbers Should Scare Trump, Republicans",2 Numbers|| Scare Trump|| Republicans|| 
189,129,0,"Trump, optics",Alter_Natv,Z,So 78K from to @NatlParkService?,
190,129,1,"Trump, optics",Alter_Natv,Z,But is cutting 2B from DOI?,DOI|| 
191,129,2,"Trump, optics",Alter_Natv,Z,0.000039% to fill that gap.,
192,129,3,"Trump, optics",Alter_Natv,Z,I don't get it.,
193,130,0,nan,vpngenic,Z,Trump administration issues new H1-B visa guidelines,H1-B|| 
194,131,0,nan,mcpinnorthnj,Z,"Sen Grassley=The truth re Schumer/Dems &; Gorsuch When voters chose Trump, ""we need 9"" became hypocritical ""8=enough""",Sen Grassley=The|| Schumer/Dems|| Gorsuch|| Trump|| 
195,132,0,nan,MyFreedomNews,Z,Poll: Majority finds Trump 'embarrassing',Poll: Majority|| Trump|| 
196,133,0,nan,BillofRightsKin,Z,"Something is wrong with her, she doesn't know what's going on ever!",
197,133,1,nan,BillofRightsKin,Z,Look what she did blabbing about Benghazi video after it was debunked?,Benghazi|| 
198,134,1,nan,DraindaSwamp,Z,Look what she did blabbing about Benghazi video after it was debunked?,
199,135,0,nan,Mediabeast3,Z,"Trump will donate his first quarter salary — $78333 — to the National Park Service, White House says - Washington…",National Park Service|| White House|| Washington|| 
200,136,0,nan,patrickfcox_cox,Z,@andrea_kisiner @mattyglesias GSA said there was no violation of lease because Trump would not be paid from hotel revenue:,GSA|| Trump|| 
201,137,0,nan,Schmutzie_,Z,Trump donates $78K to @NatlParkService ...oh and Mar-a-Lago membership just went up from $100K to $200K.,Mar-a-Lago|| 
202,137,1,nan,Schmutzie_,Z,Pretty sure Don nets a win there.,
203,138,0,nan,Roses_4_Thorns,Z,My university persecuted me for satirizing “Social Justice Week”,“Social Justice Week|| 
204,138,1,nan,Roses_4_Thorns,Z,— Red Alert Politics (Red…,Red Alert Politics (Red|| 
205,139,0,nan,Fatimafazil12,Z,??,
206,139,1,nan,Fatimafazil12,Z,“A look at Melania Trump's first official White House portrait”,Melania Trump's|| White House|| 
207,140,0,nan,nhdogmom,Z,Trump Can Pull Money From His Businesses Whenever He Wants — Without Ever Telling Us,Pull Money|| Businesses Whenever|| Wants|| Without|| Telling Us|| 
208,141,0,nan,kobrian,Z,Bombshell: Donald Trump’s trust allows him to collect money from his organization whenever he wants,Bombshell: Donald Trump’s|| 
209,142,0,nan,keithincali,Z,Opinion | Why is Trump flailing?,Trump|| 
210,142,1,nan,keithincali,Z,"Because Americans hate his agenda, and it's based on lies.",Americans|| 
211,143,0,nan,SHS_2015_1997,Z,??,
212,143,1,nan,SHS_2015_1997,Z,“Trump donates his Q1 salary to the National Park Service”,Q1|| National Park Service|| 
213,144,0,nan,farmgirlforever,Z,Who gives a shit!,
214,145,0,nan,ShowbizWorldONE,Z,Donald Trump to Be Impersonated by Anthony Atamanuik on Comedy Central's 'The President Show' &ltTouch me,Donald Trump|| President Show|| 
215,146,0,nan,Brensweets,Z,Somebody had better check Rand here for cheeto dust...,Rand|| 
216,147,0,nan,BeaglesResist,Z,"My neighbor, a US citizen born in US to military dad/Filipino mom, was harassed at the poll due to Trump call for intimidation.He persisted.",US|| US|| Trump|| 
217,148,0,nan,__Krisssyy,Z,He wouldn't have 'scheduling conflicts' if he didn't spend the first 3 hours of his day live tweeting Fox News,Fox News|| 
218,149,0,nan,hmbr123,Z,@TheHopsbride @JeffreyGuterman @Nationals @realDonaldTrump Susan Rice was the story I believe,Susan Rice|| 
219,150,0,nan,cpslayton,Z,No one is off the hook  but @DavidAFrench simply explains the proper extent to which all accusations/players should be analyzed,
220,151,0,nan,chuksderaeneh,Z,"Dems pick up enough votes to sustain a filibuster against Neil Gorsuch, Trump’s... by via @c0nvey",Neil Gorsuch|| Trump’s|| 
221,152,0,"TheMinistryOfAmerica, TheResistance, AlternativeFacts, MemoryHole, RussiaGate",TheMinistryOfUS,Z,He doesn't....????????????????,
222,152,1,"TheMinistryOfAmerica, TheResistance, AlternativeFacts, MemoryHole, RussiaGate",TheMinistryOfUS,Z,???????,
223,153,1,nan,AndyWiFly,Z,???????,
224,154,0,nan,hollycmalone35,Z,Will Geoengineering Plans Get A Boost From Trump Administration?,Geoengineering Plans Get|| Boost|| Trump Administration|| 
225,155,0,nan,OBarleysheaf,Z,Get a shovel Don.,
226,155,1,nan,OBarleysheaf,Z,You will need it soon.,
227,156,0,SusanRice,kbari12,Z,"BLOOMBERG REPORTING SPYING on TRUMP for OBAMA , not for RUSSIA INFO just Political ammunition, but found NONE @maddow @CNN @ABC",BLOOMBERG REPORTING SPYING on TRUMP|| OBAMA|| RUSSIA INFO|| Political|| NONE|| 
228,157,0,nan,Icecinder,Z,Well duh he can't be Nixon if he's literally Hitler,Nixon|| Hitler|| 
229,158,0,nan,AdamMillar,Z,"Some ppl can't handle the truth &; the truth is that swamp, prior to @realDonaldTrump coming alone was a cesspool of corruption &; indigents!",
230,159,0,nan,DemocraAfrica,Z,ALJ: Donald Trump says US is 'very much behind' Egypt's Sisi,ALJ: Donald Trump|| US|| Egypt's Sisi|| 
231,160,0,Latest,breakingnews_no,Z,White House OK with nuclear option: - CNN,White House OK|| CNN|| 
232,161,0,nan,michsnowbird,Z,"@nytimes While the NYT worries about the L train, Fox News has scooped you again by confirming Susan Rice involved in obama spying on Trump team.",NYT|| L|| Fox News|| Susan Rice|| Trump|| 
233,162,0,nan,AmrcnEvolution,Z,@Newsweek There's no way that I'm the only person in the world that wouldn't feel bad if trump recieved the Black Mirrors Season 1 Episode 1 treatment,Black Mirrors Season 1 Episode 1|| 
234,163,0,financial_news,NewsVariety2,Z,The Wall Street Journal: Revised trust allows Trump to withdraw money without public disclosure,The Wall Street Journal: Revised|| Trump|| 
235,164,0,nan,seanquinn1,Z,@FoxBusiness @TeamCavuto Not holding breath for Ds and Rs to work together.,Ds and Rs|| 
236,164,1,nan,seanquinn1,Z,Unfortunate how polarized US is now.,US|| 
237,164,2,nan,seanquinn1,Z,Libs would see people in agony than work w/ Trump.,Trump|| 
238,165,0,nan,MoneeCarl,Z,(2017) RON PAUL ATTACKS BARACK OBAMA &  DEFENDS DONALD TRUMP - MUST WATCH!!,RON PAUL ATTACKS BARACK OBAMA|| DEFENDS DONALD TRUMP|| MUST WATCH|| 
239,165,1,nan,MoneeCarl,Z,via @YouTube,
240,166,0,nan,Alpacula,Z,The future of America.,America|| 
241,167,0,nan,1finekitty,Z,NBC News: Trump Renews Old Feuds in Early Morning Tweet Series,
242,168,0,nan,bethanyswansong,Z,@Wired_Culture @ChristinaHolz Trump &  twitter ruined every th thing.,Trump|| 
243,169,0,nan,Harkness_PK,Z,"Angela Merkel didn't get this treatment, let alone a handshake.",Angela Merkel|| 
244,169,1,nan,Harkness_PK,Z,Trump's foreign policy is way out of kilter.,
